Date,Open,High,Low,Close,Adj Close,Volume
1993-04-26,9.125000,9.375000,9.000000,9.187500,5.905357,10476600
1993-05-03,9.125000,9.187500,8.812500,8.875000,5.704492,2617000
1993-05-10,8.937500,9.062500,8.687500,8.750000,5.624146,827600
1993-05-17,8.750000,8.750000,7.937500,8.187500,5.262596,2534600
1993-05-24,8.250000,8.812500,7.812500,8.687500,5.583973,2549200
1993-05-31,8.750000,8.750000,8.437500,8.562500,5.503632,532200
1993-06-07,8.500000,8.812500,8.437500,8.812500,5.664321,623400
1993-06-14,8.937500,9.125000,8.750000,8.875000,5.704492,1146600
1993-06-21,8.812500,9.250000,8.750000,9.187500,5.905357,629000
1993-06-28,9.187500,9.750000,9.062500,9.500000,6.106215,1203000
1993-07-05,9.500000,9.625000,9.187500,9.500000,6.106215,568200
1993-07-12,9.562500,9.750000,9.437500,9.750000,6.266903,723600
1993-07-19,9.687500,10.125000,9.687500,9.875000,6.347251,852000
1993-07-26,9.875000,11.687500,9.750000,11.687500,7.512257,1641200
1993-08-02,11.687500,12.312500,11.125000,11.937500,7.672949,1469400
1993-08-09,11.937500,12.062500,11.437500,11.687500,7.512257,411200
1993-08-16,11.687500,12.250000,11.500000,12.000000,7.713111,441400
1993-08-23,11.937500,12.312500,11.437500,11.562500,7.431909,1231200
1993-08-30,11.500000,12.500000,11.500000,12.250000,7.931787,717800
1993-09-06,12.062500,12.250000,11.687500,11.750000,7.608037,376400
1993-09-13,11.875000,11.875000,11.250000,11.562500,7.486636,1104200
1993-09-20,11.687500,12.125000,11.500000,12.000000,7.769909,375800
1993-09-27,12.062500,12.437500,11.812500,12.000000,7.769909,208800
1993-10-04,12.000000,12.375000,11.750000,11.812500,7.648509,474800
1993-10-11,11.875000,12.187500,11.562500,11.750000,7.608037,242800
1993-10-18,12.000000,12.812500,12.000000,12.750000,8.255529,1081600
1993-10-25,12.750000,13.750000,12.750000,13.250000,8.579279,1253600
1993-11-01,13.187500,13.625000,11.750000,12.375000,8.012720,359200
1993-11-08,12.375000,12.875000,12.375000,12.812500,8.295998,508600
1993-11-15,12.812500,13.375000,12.687500,12.812500,8.295998,272200
1993-11-22,12.812500,12.937500,12.312500,12.937500,8.376934,63800
1993-11-29,13.000000,13.000000,12.750000,12.937500,8.407508,124800
1993-12-06,13.000000,13.000000,12.437500,12.750000,8.285660,130600
