Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,88.080002,92.290001,87.559998,91.820000,82.844948,4094500
2015-10-19,91.330002,98.550003,91.230003,97.989998,88.411842,12398500
2015-10-26,97.989998,100.389999,95.550003,98.349998,88.736679,8996200
2015-11-02,98.610001,99.930000,95.500000,99.410004,89.693047,8962800
2015-11-09,99.300003,99.370003,95.029999,95.500000,86.165237,6487300
2015-11-16,94.739998,95.790001,92.589996,94.019997,84.829903,10927700
2015-11-23,94.070000,95.470001,91.379997,92.500000,83.458496,7162400
2015-11-30,92.349998,95.650002,90.529999,94.269997,85.055458,9817900
2015-12-07,94.650002,95.129997,91.760002,91.910004,82.926140,9081000
2015-12-14,92.099998,97.320000,91.040001,95.900002,86.526138,10740700
2015-12-21,96.639999,100.989998,96.540001,99.919998,90.502579,6614100
2015-12-28,99.660004,103.400002,99.639999,101.209999,91.670998,4506100
2016-01-04,99.599998,99.809998,91.419998,91.779999,83.129761,13194100
2016-01-11,92.550003,95.650002,82.610001,82.919998,75.104836,16488200
2016-01-18,84.860001,88.339996,76.199997,85.760002,77.677147,17750700
2016-01-25,85.839996,86.330002,75.559998,81.959999,74.235283,18043800
2016-02-01,81.610001,85.699997,68.470001,69.580002,63.022114,47859100
2016-02-08,68.000000,70.959999,64.209999,68.769997,62.288448,20758200
2016-02-15,69.790001,73.940002,68.470001,70.849998,64.172401,13434000
2016-02-22,70.790001,76.250000,69.970001,75.190002,68.453575,16843200
2016-02-29,74.099998,76.839996,72.309998,74.010002,67.379295,16590500
2016-03-07,73.050003,73.720001,69.000000,72.820000,66.295914,18173300
2016-03-14,72.830002,78.220001,71.570000,77.620003,70.665855,13686600
2016-03-21,77.250000,78.300003,72.529999,74.470001,67.798080,10953600
2016-03-28,74.959999,82.779999,74.230003,81.879997,74.544197,17094900
2016-04-04,82.089996,83.620003,80.000000,80.599998,73.378891,9459500
2016-04-11,81.000000,84.559998,79.320000,81.050003,73.788567,11770100
2016-04-18,81.360001,81.360001,73.379997,73.800003,67.188110,15014600
2016-04-25,74.000000,79.449997,73.820000,77.400002,70.465569,18717700
2016-05-02,78.129997,78.970001,73.519997,74.800003,68.098526,11593700
2016-05-09,75.199997,77.870003,72.470001,75.639999,68.863251,10979100
2016-05-16,75.550003,78.940002,75.489998,78.900002,71.831192,9768500
2016-05-23,79.129997,80.300003,74.599998,77.769997,70.802422,10494000
2016-05-30,77.900002,78.400002,75.260002,76.370003,69.865906,6500700
2016-06-06,76.059998,77.120003,73.830002,73.930000,67.633728,6562500
2016-06-13,73.190002,74.680000,71.500000,74.639999,68.283249,9558100
2016-06-20,76.110001,77.440002,69.440002,70.080002,64.111610,11488800
2016-06-27,68.879997,69.139999,64.949997,69.110001,63.224224,17615700
2016-07-04,68.059998,68.970001,65.709999,68.379997,62.556385,8297500
2016-07-11,68.720001,74.360001,68.540001,70.389999,64.395218,12214000
2016-07-18,70.500000,73.019997,69.879997,72.980003,66.764626,8006600
2016-07-25,72.830002,73.629997,71.930000,72.440002,66.270630,8460500
2016-08-01,72.330002,74.730003,66.849998,74.480003,68.136871,23829300
2016-08-08,74.500000,75.300003,68.889999,70.800003,64.770302,15556500
2016-08-15,70.879997,72.150002,68.110001,69.430000,63.516972,9652900
2016-08-22,69.389999,71.900002,68.730003,69.750000,63.809727,11257700
2016-08-29,69.790001,73.150002,69.419998,70.010002,64.047577,10337800
2016-09-05,69.870003,70.000000,65.370003,65.980003,60.360790,11531800
2016-09-12,65.559998,68.330002,65.099998,66.320000,60.671829,8964400
2016-09-19,66.879997,72.309998,65.449997,71.989998,65.858940,14142200
2016-09-26,72.430000,75.720001,70.739998,74.949997,68.566849,12519700
2016-10-03,74.489998,75.500000,73.690002,73.690002,67.870117,8626600
2016-10-10,74.029999,74.500000,69.959999,69.980003,64.453140,7977000
2016-10-17,69.849998,71.139999,68.669998,69.370003,63.891300,8242500
2016-10-24,69.879997,75.459999,67.529999,74.470001,68.588501,15751900
2016-10-31,75.000000,77.779999,74.620003,75.230003,69.288483,14331500
2016-11-07,76.160004,82.129997,75.559998,81.750000,75.293533,13596200
2016-11-14,82.489998,84.500000,81.750000,82.949997,76.398773,9744800
2016-11-21,83.099998,83.589996,82.010002,83.019997,76.463234,4834900
2016-11-28,82.860001,82.980003,78.769997,79.559998,73.276505,7556300
2016-12-05,80.300003,86.379997,79.860001,86.190002,79.382904,8973500
2016-12-12,85.669998,86.839996,83.720001,84.029999,77.393486,11778300
2016-12-19,83.190002,86.239998,81.949997,84.250000,77.596107,7036400
2016-12-26,84.400002,85.139999,81.589996,82.040001,75.994743,3352000
2017-01-02,82.720001,85.500000,82.720001,84.330002,78.116005,6291000
2017-01-09,84.360001,86.779999,84.050003,85.089996,78.820015,6464200
2017-01-16,84.879997,86.540001,84.029999,85.040001,78.773689,6378200
2017-01-23,84.970001,96.089996,84.519997,94.559998,87.592186,19704500
2017-01-30,95.230003,95.739998,92.650002,94.519997,87.555153,9091800
2017-02-06,94.180000,96.220001,94.080002,95.839996,88.777870,6542200
2017-02-13,96.489998,97.419998,94.430000,95.209999,88.194290,6239300
2017-02-20,95.220001,97.389999,94.650002,96.150002,89.065025,6394300
2017-02-27,95.959999,97.669998,94.660004,95.480003,88.444397,6592300
2017-03-06,94.620003,97.720001,93.400002,97.250000,90.531136,6956000
2017-03-13,97.510002,98.459999,95.440002,97.800003,91.043137,5526200
2017-03-20,97.900002,100.480003,95.559998,98.570000,91.759941,5875700
2017-03-27,98.110001,101.110001,97.330002,98.110001,91.331711,6179600
2017-04-03,98.320000,99.540001,96.529999,97.389999,90.661469,5847100
2017-04-10,97.379997,98.709999,93.860001,94.360001,87.840797,7104700
2017-04-17,94.910004,97.980003,94.349998,97.330002,90.605614,5756100
2017-04-24,98.849998,110.599998,96.910004,106.599998,99.235153,14320900
2017-05-01,106.800003,110.320000,106.080002,108.620003,101.115601,10283300
2017-05-08,108.349998,109.160004,106.680000,107.570000,100.138138,5006000
2017-05-15,107.309998,108.389999,103.519997,106.150002,98.816254,5702100
2017-05-22,106.190002,111.449997,105.610001,111.080002,103.405640,5563300
2017-05-29,110.970001,114.500000,109.750000,113.379997,105.546738,5475000
2017-06-05,113.110001,113.699997,108.860001,109.820000,102.678993,6390500
2017-06-12,109.669998,112.820000,106.660004,111.900002,104.623756,7849400
2017-06-19,112.489998,115.629997,110.839996,111.860001,104.586357,6797500
2017-06-26,111.919998,112.760002,107.870003,109.230003,102.127365,5608700
2017-07-03,109.709999,111.220001,108.129997,109.199997,102.099319,3781500
2017-07-10,109.300003,110.379997,107.790001,108.889999,101.809471,4421800
2017-07-17,108.900002,116.360001,108.650002,114.910004,107.438034,6893100
2017-07-24,114.650002,116.889999,112.190002,113.389999,106.016869,5406700
2017-07-31,114.190002,120.959999,112.870003,119.690002,111.907204,11437300
2017-08-07,120.000000,121.470001,115.449997,117.220001,109.597816,10259500
2017-08-14,118.419998,122.959999,118.000000,118.809998,111.084427,9006300
